urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-83-174268-11364090-post1__4	ہمارے ہوتے کوئی ہماری ماں کی جگہ لے، یہ ہم سے برداشت نہیں ہوتا والی سوچ کس قسم کی سوچ ہے؟	Until we are alive we will never accept that any one else can take the place of my mother, is this kind of thought is a thought?	"To take place of our mother in the being of our mother" what kind of thinking?	What type of mentality is the 'while we are there, no one can take our mother's place', kind of mentality?	In my opinion,being alive as her children no one can take the place of our mother we cant tolerate it..like this how many of us believe in this type of thinking!!!	-65.0876	-82.9631	-97.6774	-231.824	-64.7373	-84.4976	-98.1268	-228.627
urd-wl-83-174268-11364090-post2__1	میرے خیال میں ان صاحب کی اولاد کو یہ سوچنا چاہئے کہ اگر سب بچوں کی شادیاں کرنے کے بعد انہوں نے ایک بیوہ خاتون سے شادی کر لی تو کیا غلط کیا؟	In my view Sirs children has to think that, if after doing the Marriage of all the children, he him self has married to a widow women, so is that any thing wrong he has done?	According to my thinking his sons should thik that what did he done wrong when he married with widdow after the merriage of children?	I believe that this persons children should have thought what is wrong if he married a widow, after he married off all his children?	In my opinion the children of this person should think that after having married all the kids, is there anything wrong in his marrying a widow?	-153.088	-189.11	-71.8686	-114.902	-151.789	-190.12	-72.4016	-112.56
urd-wl-83-174268-11364090-post2__2	اس طرح اس بیوہ خاتون کو بھی سہارا مل گیا اور وہ انکل کو بھی کوئی گھر سنبھالنے والا مل گیا	In this way this widow women has also got some support and that uncle will also get some one to take care of the home (homemaker)	By this that widdow got a helper and he got a person to manage his home.	Thereby, this widow also got support and the uncle also got someone to look after the house.	This way the widow gets a caretaker and uncle also gets someone who will take care of his home.	-109.927	-86.0037	-57.2439	-57.8948	-110.395	-86.7554	-57.9122	-59.2142
urd-wl-83-174268-11364090-post2__3	، کیونکہ ان کے بچے یقنن اپنی اپنی دنیا مے مصروف ہو گئے ہوں گے اور ان کو وقت نھیں دیتے ہوگے.	Because that is for sure that his children got busy in there own personal life and they are not giving him time	Because his sons and daughters engaged in their life and will not care him.	As the children would definitely have gotten busy in their own worlds and would not be able to give time to him.	Because his children would certainly be busy in their worldly affairs and would not be having time for him.	-65.3741	-41.0124	-57.2972	-50.2413	-63.6844	-38.2661	-56.1646	-49.7993
urd-wl-83-174268-11364090-post4__1	اس کی وجہ جاہلیت ہے.	Reason for this is unknowledgeable	Its reason is lack of knowledge.	The reason for this is ignorance.	The reason behind this is ignorence.	-50.5916	-18.8176	-14.4239	-51.057	-50.8287	-18.4519	-13.6942	-51.6034
urd-wl-83-174268-11364090-post4__2	کل کو اگر ان کی بیویوں‌ نے بوڑھے کی خدمت سے انکار کر دیا تو پھر وہ کیا کریں‌گے؟	If tomorrow there wifes refuses to serve that old man then what will he do?	Tommorow if their wifes denayed to serve him then what will he do?	Tomorrow if their wives refuse to look after them, when they are old, what will they do?	In future what if their wives refused to work for the old man?	-84.827	-154.521	-48.6208	-40.1422	-85.8334	-154.228	-45.82	-40.8581
urd-wl-83-174268-11364090-post4__3	یہ معاشرے کے دباؤ کا نتیجہ ہے.	This result is because of Societies pressure	It is the result of the stress of society.	This is a result of the force of society.	This is the outcome of the social pressure.	-21.425	-17.7897	-14.9998	-14.4828	-21.5015	-15.256	-15.2243	-13.6496
urd-wl-83-174268-11364090-post4__4	جب لوگ ایسی حرکت پر ایسے خاندان کا مذاق اڑاتے ہیں تو اولاد باپ کی دوسری شادی پر شرمندہ ہونے لگتی ہے	When People will laugh on this activity and on there Family then children will feel ashamed on second marriage of there father	When the people laugh on such family at such action so the sons denay the second merriage.	When people begin to make fun of such a family for doing something like that, children start to feel ashamed of their father's second marriage.	Childeren feel ashamed on the second marriage of their father when people make jokes of such family on this action.	-73.2419	-127.041	-72.4509	-98.7706	-75.6836	-129.327	-72.5152	-100.099
urd-wl-83-174268-11364090-post4__5	حالانکہ انہیں حالات کا مقابلہ کرنا چاہیے اور کہنا چاہیے کہ ان کے باپ کا عمل اسلام کے عین مطابق تھا.	Actually they have to defend the situation stating there father has done this according to Islam view	Although we should compete such situation that their father's doing was according to Islam.	Though they should face the environment and say that their father's action is in perfect accordance with Islam.	Where as they must face the circumstances and say that what their father did,it was just according to Islam.	-53.8042	-48.3533	-48.9319	-87.648	-55.8	-50.224	-51.9204	-91.261
urd-wl-83-174268-11364090-post6__1	یہ ہمارے معاشرے میں ایک لعنت ہے جسکا ہم پچھلے 40-50 سال میں پوری طرح شکار ہو چکے ہیں۔	This is one of the curses on our society like we are totally into Venery in past 40-50 years	It is a curse in our society we are caught in it from 40 to 50 years.	This is the curse of our society, which we are facing for the last 40-50 years.	This is a curse in our society in which we are sunk since last 40 to 50 years.	-163.35	-38.4931	-70.6169	-40.4509	-162.848	-33.5351	-69.9687	-36.6199
